character	group	dimension	consensus_score	description
Haruki Minamoto	HEXACO	HEXACO_Honesty_Humility	3.967	sincere, fair, modest, not exploitative
Haruki Minamoto	HEXACO	HEXACO_Emotionality	3.133	emotionally sensitive, anxious or attached, responsive to risk and loss
Haruki Minamoto	HEXACO	HEXACO_Extraversion	2.400	socially bold, energetic, expressive, socially confident
Haruki Minamoto	HEXACO	HEXACO_Agreeableness	3.767	patient, forgiving, flexible under conflict
Haruki Minamoto	HEXACO	HEXACO_Conscientiousness	4.500	organised, disciplined, careful, persistent
Haruki Minamoto	HEXACO	HEXACO_Openness	3.867	curious, imaginative, intellectually and aesthetically exploratory
Haruki Minamoto	Beyond HEXACO	Sentimentality	4.267	attachment warmth and emotional tenderness toward close others
Haruki Minamoto	Beyond HEXACO	Social_Anxiety	2.667	self-consciousness or discomfort in evaluative social settings
Haruki Minamoto	Beyond HEXACO	Trust_Benevolence	3.600	expectation that other people are basically well-intentioned
Haruki Minamoto	Beyond HEXACO	Affective_Responsiveness	3.500	capacity for empathic emotional resonance with others
Haruki Minamoto	Beyond HEXACO	SVO_Prosocial_Orientation	3.900	preference for cooperative or mutually beneficial outcomes
Isolde Marrow-Lark	HEXACO	HEXACO_Honesty_Humility	4.067	sincere, fair, modest, not exploitative
Isolde Marrow-Lark	HEXACO	HEXACO_Emotionality	3.367	emotionally sensitive, anxious or attached, responsive to risk and loss
Isolde Marrow-Lark	HEXACO	HEXACO_Extraversion	2.333	socially bold, energetic, expressive, socially confident
Isolde Marrow-Lark	HEXACO	HEXACO_Agreeableness	3.767	patient, forgiving, flexible under conflict
Isolde Marrow-Lark	HEXACO	HEXACO_Conscientiousness	4.500	organised, disciplined, careful, persistent
Isolde Marrow-Lark	HEXACO	HEXACO_Openness	3.600	curious, imaginative, intellectually and aesthetically exploratory
Isolde Marrow-Lark	Beyond HEXACO	Sentimentality	4.367	attachment warmth and emotional tenderness toward close others
Isolde Marrow-Lark	Beyond HEXACO	Social_Anxiety	2.933	self-consciousness or discomfort in evaluative social settings
Isolde Marrow-Lark	Beyond HEXACO	Trust_Benevolence	3.667	expectation that other people are basically well-intentioned
Isolde Marrow-Lark	Beyond HEXACO	Affective_Responsiveness	3.733	capacity for empathic emotional resonance with others
Isolde Marrow-Lark	Beyond HEXACO	SVO_Prosocial_Orientation	3.867	preference for cooperative or mutually beneficial outcomes
Cillian Frost	HEXACO	HEXACO_Honesty_Humility	3.533	sincere, fair, modest, not exploitative
Cillian Frost	HEXACO	HEXACO_Emotionality	2.567	emotionally sensitive, anxious or attached, responsive to risk and loss
Cillian Frost	HEXACO	HEXACO_Extraversion	2.433	socially bold, energetic, expressive, socially confident
Cillian Frost	HEXACO	HEXACO_Agreeableness	3.233	patient, forgiving, flexible under conflict
Cillian Frost	HEXACO	HEXACO_Conscientiousness	4.467	organised, disciplined, careful, persistent
Cillian Frost	HEXACO	HEXACO_Openness	3.333	curious, imaginative, intellectually and aesthetically exploratory
Cillian Frost	Beyond HEXACO	Sentimentality	2.967	attachment warmth and emotional tenderness toward close others
Cillian Frost	Beyond HEXACO	Social_Anxiety	2.600	self-consciousness or discomfort in evaluative social settings
Cillian Frost	Beyond HEXACO	Trust_Benevolence	3.133	expectation that other people are basically well-intentioned
Cillian Frost	Beyond HEXACO	Affective_Responsiveness	2.700	capacity for empathic emotional resonance with others
Cillian Frost	Beyond HEXACO	SVO_Prosocial_Orientation	3.167	preference for cooperative or mutually beneficial outcomes
